sha256,refined_3d_prompt
0075272ea45f9d49edd2caaead93b29cac046ec537ef8c59344ca5ec4c827a65,"Aggressive, low-slung, mid-engine coupe. Wedge profile, short overhangs, long hood. Dark grey matte finish, subtle metallic flake. Audi-esque singleframe grille, sharp side blades. 5-spoke dark wheels. Studio lit, emphasizing sharp edges, concave surfaces. R8-inspired, minimalist."
011ffd4747953e3737283408278364af471834de7a1f19144fbb036e0e846ea2,"Compact cream hatchback. Short wheelbase, tall cabin, rounded forms. Pearl white, glossy paint. Small silver alloy wheels. Simple headlights/taillights, horizontal grille. Flush handles, black antenna. Soft studio lighting. Toyota Fit-like."
043c94a4e37fc017a9c602bb6a28e8f404b1e99e8c4f3c9a6d4e0e997a8f9359,"Gloss blue 4-door sedan, long hood/short deck, fastback roof. Black alloy wheels, red calipers. Glossy finish, subtle flares. Slim LED lights, chrome accents. Aggressive stance, low profile. Detailed panel gaps, flush handles. Studio lighting, specular highlights. Modern luxury proportions."
0543be3bb52696a6b71344104319446d7b4ca17941491b1bcfdf5e24e4ee652b,"Orange compact SUV, fastback roof, short overhangs. Black roof/pillars, flush handles. Slim LED headlights, silver multi-spoke wheels. High beltline, sculpted fenders. Gloss orange paint, black lower cladding. Studio lit, specular highlights. Wide stance, proportional wheelbase. Minimal chrome, clean surfacing."
06098cd241e5dab4371afc1c990e5429bde512d43d98f131840d4cd02945bb9e,"Deep blue electric SUV, VW ID. family design. Short overhangs, long wheelbase, panoramic sunroof. Integrated light bar, VW emblem central. Gloss black trim, silver skidplate. 20” split-spoke wheels, red calipers. Flush handles, dark tint. Metallic paint, studio lighting, smooth reflections. Minimalist surfacing, high beltline. Red interior visible."
07ed30b7de006ad2e2bd14bee35cc1fcde860b36326e76ccdbec8eb61b63aac8,"White boxy SUV, short overhangs, long wheelbase, high waistline. Black multi-spoke wheels/green accents. Gloss white body, matte black roof & trim. Panoramic sunroof, silver skid plates. Flush handles, dark tinted windows. Studio lit, clean reflections. Range Rover aesthetic, refined surfacing."
082d8c03d113d9af118493039bf727858382eb5f01e5a2cc5fa5df5327d44c6d,"Burgundy metallic SUV, long wheelbase, high beltline. Rounded headlights, subtle chrome grille. 5-spoke silver wheels, red calipers visible. Glossy paint, flush handles, roof rails. Soft studio lighting, defined panel gaps. Muscular fenders, short overhangs."
089b9b519d7f9a12d0016dffc76a89ff7c041a27f52aaf8f388041c9090fb3d9,"White boxy hatchback, short deck, high rear. Magenta taillight bar, black trim. Pop-up headlights, yellow tint. Black multi-spoke wheels. Flat, matte surfaces. Purple side window accents. Flush arches, minimal chrome. Compact wheelbase. Studio lit, even illumination. 80s JDM, AE86 influence."
09f2338d40e8ab857b2b39726bb86957d19342507dfcbb74dca15752758d71ce,"Compact red hatchback, short wheelbase, high roof. Glossy metallic paint, rounded forms, minimal surfacing. Dark alloy wheels. Black plastic cladding, subtle chrome accents. Swept-back headlights, small grille. Studio lighting—soft reflections, emphasizes curvature. Fiat 500L-esque."
0ae696bd837219e784b8b7979807184decd5abdb813f0fd7bbfbf6a82bdcc798,"Sky-blue compact crossover, white roof/pillars. Short overhangs, high beltline, squared shoulders. Dark cladding, 5-spoke silver wheels. Glossy paint, minimal chrome. Flush handles, subtle roof rails. Honeycomb grille, horizontal lights. Studio lit, soft shadows. VW T-Roc inspired. Modern, clean surfacing."
0b5a050797899a35ca0813e6284a13e670553dc7ee06e5871f160bff6c22d5ab,"R35 GT-R, pearl white, low/wide. Magenta accents—splitter, skirts, wing, wheels. Aggressive aero, vented fenders. Dark tint, flush handles. Mesh wheels, low profile tires. Glossy finish, studio lit, sharp speculars. Short wheelbase, long hood, quad exhaust. Modern sports coupe."
0bcd49d4ca7fc0f69fd451d7de62d92475cf920b74b51ab11138e5e8d93ed06b,"Aggressive GT3 racecar, low-slung. Matte black base, silver/blue “Blancpain” (#25) livery. Large rear wing, central fin, carbon diffuser. Hexagonal lights, mesh grille. Multi-spoke racing wheels, slick tires. Sharp edges, studio lighting, high detail. Lamborghini Huracán-esque."
0ccb9e1cc0eb0468a15d8d9b62366992567d09151eca420832a2a4bf67d7f63f,"Dark grey, low-slung hybrid sports car. Layered body, long hood, short deck. Blue accent lighting—sills, rear diffuser. Multi-spoke silver wheels. Laser headlights, narrow taillights. Aggressive intakes, carbon fiber accents. Gloss black roof, panoramic glass. Sculpted surfaces, minimal chrome. Studio lit, emphasizing form & material contrast."
